name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,all_measurements,all_ingredients
Jamaica Granito,Brandy,1.5, Brandy,1, Triple Sec,1, Lemon or Orange Sherbet, Soda water,, Freshly grated nutmeg,,,,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14 to 16 ounces,"[1.5, '1', '1', ' Soda water', ' Freshly grated nutmeg', nan]","[' Brandy', ' Triple Sec', ' Lemon or Orange Sherbet', nan, nan, nan]"
Gin Sling,Cocktail Classics,1, Powdered Sugar,1, Water,0.5, Juice of a Lemon,2, Gin,,,,,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Add a twist of orange peel.,Old-Fashioned Glass,6 to 8 ounces,"['1', '1', 0.5, '2', nan, nan]","[' Powdered Sugar', ' Water', ' Juice of a Lemon', ' Gin', nan, nan]"
Gin Milk Punch,Cocktail Classics,1, Powdered Sugar,2, Gin,1, Milk,,,,,,,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces,"['1', '2', '1', nan, nan, nan]","[' Powdered Sugar', ' Gin', ' Milk', nan, nan, nan]"
Horse's Neck (With A Kick),Whiskies,1, Wide spiral of lemon zest,2, Bourbon whiskey,1, Ginger ale,,,,,,,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.,Collins Glass,14 to 16 ounces,"['1', '2', '1', nan, nan, nan]","[' Wide spiral of lemon zest', ' Bourbon whiskey', ' Ginger ale', nan, nan, nan]"
Gin and It,Cocktail Classics,2, Gin,1, Sweet Vermouth,,,,,,,,,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6 or more ounces,"['2', '1', nan, nan, nan, nan]","[' Gin', ' Sweet Vermouth', nan, nan, nan, nan]"
Gin Cocktail,Cocktail Classics,2, Gin,2, Bitters,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.,Cocktail Glass,6 or more ounces,"['2', '2', nan, nan, nan, nan]","[' Gin', ' Bitters', nan, nan, nan, nan]"
West Side,Vodka,1.5, lemon-flavored vodka,0.75, Fresh lemon juice,0.5, Simple Syrup,6, Fresh mint leaves, Soda water,,,,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, 0.5, '6', ' Soda water', nan]","[' lemon-flavored vodka', ' Fresh lemon juice', ' Simple Syrup', ' Fresh mint leaves', nan, nan]"
Gimlet ,Cocktail Classics,1, Lime Juice,1, Powdered Sugar,1.5, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', 1.5, nan, nan, nan]","[' Lime Juice', ' Powdered Sugar', ' Gin', nan, nan, nan]"
Free Silver,Cocktail Classics,0.25, Juice of a Lemon,0.5, Powdered Sugar,1.5, Gin,0.5, Dark rum,1, Milk,, Club Soda,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14 to 16 ounces,"[0.25, 0.5, 1.5, 0.5, '1', nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Gin', ' Dark rum', ' Milk', ' Club Soda']"
Frankenjack Cocktail,Cocktail Classics,1, Gin,0.75, Dry Vermouth,0.5, Apricot Flavored Brandy,1, Triple Sec,0.5, Juice of a Lime,1.5, Gin & ginger ale,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces,"['1', 0.75, 0.5, '1', 0.5, 1.5]","[' Gin', ' Dry Vermouth', ' Apricot Flavored Brandy', ' Triple Sec', ' Juice of a Lime', ' Gin & ginger ale']"
Fog Horn,Cocktail Classics,0.5, Juice of a Lime,1.5, Gin & ginger ale,2, Gin,1, Triple Sec,,,,,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.,Highball Glass,7 to 10 ounces,"[0.5, 1.5, '2', '1', nan, nan]","[' Juice of a Lime', ' Gin & ginger ale', ' Gin', ' Triple Sec', nan, nan]"
Flying Dutchman,Cocktail Classics,2, Gin,1, Triple Sec,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,"['2', '1', nan, nan, nan, nan]","[' Gin', ' Triple Sec', nan, nan, nan, nan]"
Hoot Mon Cocktail,Whiskies,1.5, Blended Scotch Whiskey,0.75, Sweet Vermouth,1, Benedictine,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', nan, nan, nan]","[' Blended Scotch Whiskey', ' Sweet Vermouth', ' Benedictine', ' Lemon twist', nan, nan]"
Fifty-Fifty Cocktail,Cocktail Classics,1.5, Gin,1.5, Dry Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, nan, nan, nan, nan]","[' Gin', ' Dry Vermouth', nan, nan, nan, nan]"
Favorite Cocktail,Cocktail Classics,0.75, Apricot Flavored Brandy,0.75, Dry Vermouth,0.75, Gin,0.25, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, 0.25, nan, nan]","[' Apricot Flavored Brandy', ' Dry Vermouth', ' Gin', ' Lemon Juice', nan, nan]"
Farmer's Cocktail,Cocktail Classics,1, Gin,0.5, Dry Vermouth,0.5, Sweet Vermouth,2, Bitters,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, '2', nan, nan]","[' Gin', ' Dry Vermouth', ' Sweet Vermouth', ' Bitters', nan, nan]"
Warsaw Cocktail,Vodka,1.5, Vodka,0.5, Blackberry-flavored brandy,0.5, Dry Vermouth,1, Fresh lemon juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, '1', nan, nan]","[' Vodka', ' Blackberry-flavored brandy', ' Dry Vermouth', ' Fresh lemon juice', nan, nan]"
Emerald Isle Cocktail,Cocktail Classics,2, Gin,1, Green creme de menthe,3, Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', '1', '3', nan, nan, nan]","[' Gin', ' Green creme de menthe', ' Bitters', nan, nan, nan]"
Du Barry Cocktail,Cocktail Classics,1, Bitters,0.75, Dry Vermouth,0.5, Anisette,1.5, Gin,,,,,Stir with ice and strain into cocktail glass. Add a slice of orange.,Cocktail Glass,6 or more ounces,"['1', 0.75, 0.5, 1.5, nan, nan]","[' Bitters', ' Dry Vermouth', ' Anisette', ' Gin', nan, nan]"
Dry Martini (5-to-1),Cocktail Classics,1.67, Gin,0.33, Dry Vermouth,,,,,,,,,"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Serve with a twist of lemon peel or olive, if desired.",Cocktail Glass,6 or more ounces,"[1.67, 0.33, nan, nan, nan, nan]","[' Gin', ' Dry Vermouth', nan, nan, nan, nan]"
Dixie Cocktail,Cocktail Classics,0.25, Juice of Orange,1, Anisette,0.5, Dry Vermouth,1, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.25, '1', 0.5, '1', nan, nan]","[' Juice of Orange', ' Anisette', ' Dry Vermouth', ' Gin', nan, nan]"
Delmonico No. 2,Cocktail Classics,1, Orange Bitters,1, Dry Vermouth,1.5, Gin,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,"['1', '1', 1.5, nan, nan, nan]","[' Orange Bitters', ' Dry Vermouth', ' Gin', nan, nan, nan]"
Hole-In-One,Whiskies,1.75,Blended Scotch Whiskey,0.75, Dry Vermouth,0.25, Fresh lemon juice,1, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.75, 0.75, 0.25, '1', nan, nan]","['Blended Scotch Whiskey', ' Dry Vermouth', ' Fresh lemon juice', ' Orange Bitters', nan, nan]"
Vodka Stinger,Vodka,1, Vodka,1, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', nan, nan, nan, nan]","[' Vodka', ' White creme de menthe', nan, nan, nan, nan]"
Caruso,Cocktail Classics,1.5, Gin,1, Dry Vermouth,0.5, Green creme de menthe,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.5, nan, nan, nan]","[' Gin', ' Dry Vermouth', ' Green creme de menthe', nan, nan, nan]"
Bulldog Highball,Cocktail Classics,0.5, Juice of Orange,2, Gin,, Ginger ale,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of Orange', ' Gin', ' Ginger ale', nan, nan, nan]"
Brown Cocktail,Cocktail Classics,0.75, Gin,0.75, Light Rum,0.75, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, nan, nan, nan]","[' Gin', ' Light Rum', ' Dry Vermouth', nan, nan, nan]"
Bronx Terrace Cocktail,Cocktail Classics,1.5, Gin,1.5, Dry Vermouth,0.5, Juice of a Lime,,,,,,,Shake with  ice and strain into cocktail glass. Add a cherry.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, 0.5, nan, nan, nan]","[' Gin', ' Dry Vermouth', ' Juice of a Lime', nan, nan, nan]"
Bronx Cocktail (Dry),Cocktail Classics,1, Gin,1, Dry Vermouth,0.25, Juice of Orange,,,,,,,Shake with ice and strain into cocktail glass. Serve with a slice of orange.,Cocktail Glass,6 or more ounces,"['1', '1', 0.25, nan, nan, nan]","[' Gin', ' Dry Vermouth', ' Juice of Orange', nan, nan, nan]"
Hill Dog,Whiskies,1.5, White whiskey,0.5, Grand Marnier,0.5, Dry Sherry,0.5, Lavender Syrup, orange twist,,,,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, 0.5, ' orange twist', nan]","[' White whiskey', ' Grand Marnier', ' Dry Sherry', ' Lavender Syrup', nan, nan]"
Blue Devil Cocktail,Cocktail Classics,1, Gin,0.5,Juice of Lemon or Lime,1, Maraschino,0.5, Blue curacao,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, '1', 0.5, nan, nan]","[' Gin', 'Juice of Lemon or Lime', ' Maraschino', ' Blue curacao', nan, nan]"
Blue Canary,Cocktail Classics,0.75, Gin,3, Grapefruit Juice,1, Blue curacao,,,,,,,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6 or more ounces,"[0.75, '3', '1', nan, nan, nan]","[' Gin', ' Grapefruit Juice', ' Blue curacao', nan, nan, nan]"
Blue Bird,Cocktail Classics,1.5, Gin,0.5, Triple Sec,1, Bitters,,,,,,,Stir with ice cubes and strain into cocktail glass. Add a twist of lemon peel and a cherry.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, '1', nan, nan, nan]","[' Gin', ' Triple Sec', ' Bitters', nan, nan, nan]"
Bloodhound Cocktail,Cocktail Classics,0.5, Dry Vermouth,0.5, Sweet Vermouth,1, Gin,,,,,,,Shake with ice and strain into cocktail glass. Decorate with two or three crushed strawberries.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, '1', nan, nan, nan]","[' Dry Vermouth', ' Sweet Vermouth', ' Gin', nan, nan, nan]"
Billy Taylor,Cocktail Classics,0.5, Juice of a Lime,2, Gin,, Club Soda,,,,,,,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14 to 16 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of a Lime', ' Gin', ' Club Soda', nan, nan, nan]"
Bijou Cocktail,Cocktail Classics,0.75, Gin,0.75, Green Chartreuse,0.75, Sweet Vermouth,1, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Add a cherry on top.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, '1', nan, nan]","[' Gin', ' Green Chartreuse', ' Sweet Vermouth', ' Orange Bitters', nan, nan]"
Bermuda Rose ,Cocktail Classics,1.25, Gin,1.5, Apricot Flavored Brandy,1.5, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.25, 1.5, 1.5, nan, nan, nan]","[' Gin', ' Apricot Flavored Brandy', ' Grenadine', nan, nan, nan]"
Vodka Sour,Vodka,2, Vodka,2, Vodka,0.75, Fresh lemon juice,0.75, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Cocktail Glass,6 or more ounces,"['2', '2', 0.75, 0.75, ' Lemon half-wheel, maraschino cherry', nan]","[' Vodka', ' Vodka', ' Fresh lemon juice', ' Simple Syrup', nan, nan]"
Apricot Anisette Collins,Cocktail Classics,1.5, Gin,0.5, Apricot Flavored Brandy,1.5, Anisette,1, Lemon Juice, Club Soda,,,,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a slice of lemon.,Collins Glass,14 to 16 ounces,"[1.5, 0.5, 1.5, '1', ' Club Soda', nan]","[' Gin', ' Apricot Flavored Brandy', ' Anisette', ' Lemon Juice', nan, nan]"
Alexander's Sister Cocktail,Cocktail Classics,1, Dry gin,1, Green creme de menthe,1, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Dry gin', ' Green creme de menthe', ' Light cream', nan, nan, nan]"
Highland Cooler,Whiskies,2, Blended Scotch Whiskey,0.5, Simple Syrup,, Soda water or ginger ale,, Lemon and/or orange zest spiral(s),,,,,Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Insert citrus spiral(s) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces,"['2', 0.5, nan, nan, nan, nan]","[' Blended Scotch Whiskey', ' Simple Syrup', ' Soda water or ginger ale', ' Lemon and/or orange zest spiral(s)', nan, nan]"
Alexander Cocktail No. 1,Cocktail Classics,1, Gin,1, Creme de Cacao (White),1, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Sprinkle nutmeg on top.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Gin', ' Creme de Cacao (White)', ' Light cream', nan, nan, nan]"
Adam and Eve,Cocktail Classics,1, Forbidden Fruit,1, Gin,1, Brandy,1, Lemon Juice,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', '1', nan, nan]","[' Forbidden Fruit', ' Gin', ' Brandy', ' Lemon Juice', nan, nan]"
Vodka Sling,Vodka,2, Vodka,1, Fresh lemon juice,0.5, Simple Syrup,, Orange twist,,,,,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Add orange twist.",Old-Fashioned Glass,6 to 8 ounces,"['2', '1', 0.5, nan, nan, nan]","[' Vodka', ' Fresh lemon juice', ' Simple Syrup', ' Orange twist', nan, nan]"
Jack Rose Cocktail,Brandy,1.5, Applejack,0.5, Fresh Lime Juice,0.25, Grenadine,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.25, nan, nan, nan]","[' Applejack', ' Fresh Lime Juice', ' Grenadine', nan, nan, nan]"
Tempter Cocktail,Cocktail Classics,1, Port,1, Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', nan, nan, nan, nan]","[' Port', ' Apricot Flavored Brandy', nan, nan, nan, nan]"
Special Rough Cocktail,Cocktail Classics,1.5, Apple Brandy,1.5, Brandy,0.5, Anisette,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, 0.5, nan, nan, nan]","[' Apple Brandy', ' Brandy', ' Anisette', nan, nan, nan]"
Vodka Grasshopper,Vodka,0.75, Vodka,0.75, Green creme de menthe,0.75, White creme de cacao,0.75, half-and-half,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, 0.75, nan, nan]","[' Vodka', ' Green creme de menthe', ' White creme de cacao', ' half-and-half', nan, nan]"
Singapore Sling,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,2, Gin,, Club Soda,0.5, cherry-flavored brandy,,,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Float cherry-flavored brandy on top. Decorate with fruits in season and serve with straws.",Collins Glass,14 to 16 ounces,"[0.5, '1', '2', nan, 0.5, nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Gin', ' Club Soda', ' cherry-flavored brandy', nan]"
Saratoga Cocktail,Cocktail Classics,2, Brandy,2, Bitters,1, Lemon Juice,1, Pineapple Juice,0.5, Maraschino,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', '2', '1', '1', 0.5, nan]","[' Brandy', ' Bitters', ' Lemon Juice', ' Pineapple Juice', ' Maraschino', nan]"
High Cotton,Whiskies,2, Straight rye whiskey,0.5, Pimm's No. 1 Cup,0.5, Dubonnet Rouge,2, Peach bitters," Lemon twist, fresh mint sprig",,,,Stir with ice and strain into chilled cocktail glass. Garnish with lemon and mint.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, '2', ' Lemon twist, fresh mint sprig', nan]","[' Straight rye whiskey', "" Pimm's No. 1 Cup"", ' Dubonnet Rouge', ' Peach bitters', nan, nan]"
Polonaise,Cocktail Classics,1.5, Brandy,1, Blackberry-flavored brandy,0.5, Dry Sherry,1, Lemon Juice,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, '1', 0.5, '1', nan, nan]","[' Brandy', ' Blackberry-flavored brandy', ' Dry Sherry', ' Lemon Juice', nan, nan]"
Vodka Gimlet,Vodka,1.5, Vodka,1, Fresh Lime Juice,0.5, Simple Syrup,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.5, nan, nan, nan]","[' Vodka', ' Fresh Lime Juice', ' Simple Syrup', nan, nan, nan]"
Merry Widow Cocktail No. 2,Cocktail Classics,1.25, Maraschino,1.25, cherry-flavored brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces,"[1.25, 1.25, nan, nan, nan, nan]","[' Maraschino', ' cherry-flavored brandy', nan, nan, nan, nan]"
Lugger,Cocktail Classics,1, Brandy,1, Apple Brandy,1, Apricot Flavored Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Brandy', ' Apple Brandy', ' Apricot Flavored Brandy', nan, nan, nan]"
Jamaica Hop,Cocktail Classics,1, Coffee-flavored brandy,1, Creme de Cacao (White),1, Light cream,,,,,,,Shake well with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Coffee-flavored brandy', ' Creme de Cacao (White)', ' Light cream', nan, nan, nan]"
Hebrides,Whiskies,1.5, Single-malt Scotch whisky,0.5, Maraschino liqueur,0.5, Triple Sec,2, Apple juice,0.5, Fresh lemon juice,1, Angostura Bitters,Pour into ice-filled Collins glass and stir.,Collins Glass,14 to 16 ounces,"[1.5, 0.5, 0.5, '2', 0.5, '1']","[' Single-malt Scotch whisky', ' Maraschino liqueur', ' Triple Sec', ' Apple juice', ' Fresh lemon juice', ' Angostura Bitters']"
Hennessy Martini,Cocktail Classics,2, Hennessy V.S Cognac,0.5, Lemon Juice,,,,,,,,,"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with twist of lemon peel.",Cocktail Glass,6 or more ounces,"['2', 0.5, nan, nan, nan, nan]","[' Hennessy V.S Cognac', ' Lemon Juice', nan, nan, nan, nan]"
Vodka Daisy,Vodka,2, Vodka,1, Fresh lemon juice,0.5, Simple Syrup,1, Grenadine, Fresh seasonal fruit,,,,Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with fruit.,Beer Mug,10 to 12 ounces,"['2', '1', 0.5, '1', ' Fresh seasonal fruit', nan]","[' Vodka', ' Fresh lemon juice', ' Simple Syrup', ' Grenadine', nan, nan]"
Heavenly Dram,Whiskies,2, Single-malt Scotch whisky,0.5, Pedro Ximenez sherry,0.75, Fresh lemon juice,0.25, Honey Syrup, Lemon twist,,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.75, 0.25, ' Lemon twist', nan]","[' Single-malt Scotch whisky', ' Pedro Ximenez sherry', ' Fresh lemon juice', ' Honey Syrup', nan, nan]"
Classic Cocktail,Cocktail Classics,0.25, Juice of a Lemon,1.5, Curacao,1.5, Maraschino,1, Brandy,,,,,Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.,Old-Fashioned Glass,6 to 8 ounces,"[0.25, 1.5, 1.5, '1', nan, nan]","[' Juice of a Lemon', ' Curacao', ' Maraschino', ' Brandy', nan, nan]"
Cherry Sling,Cocktail Classics,2, cherry-flavored brandy,0.5, Juice of a Lemon,,,,,,,,,Serve in old-fashioned glass filled with ice cubes and stir. Add a twist of lemon peel.,Old-Fashioned Glass,6 to 8 ounces,"['2', 0.5, nan, nan, nan, nan]","[' cherry-flavored brandy', ' Juice of a Lemon', nan, nan, nan, nan]"
Cherry Fizz,Cocktail Classics,0.5, Juice of a Lemon,2, cherry-flavored brandy,, Club Soda,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and decorate with a cherry.,Highball Glass,7 to 10 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of a Lemon', ' cherry-flavored brandy', ' Club Soda', nan, nan, nan]"
Vodka Cooler,Vodka,2, Vodka,0.5, Simple Syrup,, Soda water or ginger ale,, Orange and/or lemon zest spiral,,,,,Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert a spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces,"['2', 0.5, nan, nan, nan, nan]","[' Vodka', ' Simple Syrup', ' Soda water or ginger ale', ' Orange and/or lemon zest spiral', nan, nan]"
Carrol Cocktail,Cocktail Classics,1.5, Brandy,0.75, Sweet Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, nan, nan, nan, nan]","[' Brandy', ' Sweet Vermouth', nan, nan, nan, nan]"
